Symbol,Security Name
AAPL,Apple Inc. - Common Stock
MSFT,Microsoft Corporation - Common Stock
GOOGL,Alphabet Inc. - Class A Common Stock
TSLA,"Tesla, Inc.  - Common Stock"
META,"Meta Platforms, Inc. - Class A Common Stock"
NVDA,NVIDIA Corporation - Common Stock
AMZN,"Amazon.com, Inc. - Common Stock"
