Symbol,Company,
VOYG,"Voyager Technologies, Inc. Class A Common Stock"
VPG,"Vishay Precision Group, Inc. Common Stock"
VPV,Invesco Pennsylvania Value Municipal Income Trust Common Stock (DE)
VRE,"Veris Residential, Inc. Common Stock"
VRT,"Vertiv Holdings, LLC Class A Common Stock"
VRTS,"Virtus Investment Partners, Inc. Common Stock"
VSCO,Victorias Secret & Co. Common Stock
VSH,"Vishay Intertechnology, Inc. Common Stock"
VST,Vistra Corp. Common Stock
VSTS,Vestis Corporation Common Stock
VTEX,VTEX Class A Common Shares
VTLE,"Vital Energy, Inc. Common Stock, par value $0.01 per share"
VTMX,"Corporacion Inmobiliaria Vesta, S.A.B de C.V. American Depositary Shares, each representing ten (10) Common Shares"
VTN,Invesco Trust for Investment Grade New York Municipals Common Stock
VTOL,"Bristow Group, Inc. Common Stock"
VTR,"Ventas, Inc. Common Stock"
VTS,"Vitesse Energy, Inc. Common Stock"
VVR,Invesco Senior Income Trust Common Stock (DE)
VVV,Valvoline Inc. Common Stock
VVX,"V2X, Inc. Common Stock"
VYX,NCR Voyix Corporation Common Stock
VZ,Verizon Communications Inc. Common Stock
W,Wayfair Inc. Class A Common Stock
WAB,Westinghouse Air Brake Technologies Corporation Common Stock
WAL,Western Alliance Bancorporation Common Stock (DE)
WAL$A,"Western Alliance Bancorporation Depositary Shares, Each Representing a 1/400th Interest in a Share of 4.250% Fixed"
WAT,Waters Corporation Common Stock
WBS,Webster Financial Corporation Common Stock
WBS$F,"Webster Financial Corporation Depositary Shares, Each Representing 1/1,000th Interest in a Share of 5.25% Series F Non"
WBS$G,"Webster Financial Corporation Depositary Shares, each representing a 1/40th interest in a share of 6.50% Series G non"
WBX,Wallbox N.V. Class A Ordinary Shares
WCC,"WESCO International, Inc. Common Stock"
WCN,"Waste Connections, Inc. Common Shares"
WD,"Walker & Dunlop, Inc Common Stock"
WDH,Waterdrop Inc. American Depositary Shares (each representing the right to receive 10 Class A Ordinary Shares)
WDI,Western Asset Diversified Income Fund Common Shares of Beneficial Interest
WDS,"Woodside Energy Group Limited American Depositary Shares, each representing one Ordinary Share"
WEA,Western Asset Bond Fund Share of Beneficial Interest
WEAV,"Weave Communications, Inc. Common Stock"
WEC,"WEC Energy Group, Inc. Common Stock"
WELL,Welltower Inc. Common Stock
WES,"Western Midstream Partners, LP Common Units Representing Limited Partner Interests"
WEX,WEX Inc. common stock
WF,Woori Financial Group Inc. American Depositary Shares (each representing three (3) shares of Common Stock)
WFC,Wells Fargo & Company Common Stock
WFC$A,"Wells Fargo & Company Depositary Shares, each representing a 1/1,000th interest in a share of Non"
WFC$C,"Wells Fargo & Company Depositary Shares, each representing a 1/1,000th interest in a share of Non"
WFC$D,"Wells Fargo & Company Depositary Shares, each representing a 1/1,000th interest in  a share of Non"
WFC$L,Wells Fargo & Company 7.50% Non
WFC$Y,"Wells Fargo & Company Depositary Shares, each representing a 1/1,000th interest in a share of Non"
WFC$Z,"Wells Fargo & Company Depositary Shares, each representing a 1/1,000th interest in a share of Non"
WFG,West Fraser Timber Co. Ltd Common stock
WGO,"Winnebago Industries, Inc. Common Stock"
WH,"Wyndham Hotels & Resorts, Inc. Common Stock"
WHD,"Cactus, Inc. Class A Common Stock"
