Symbol,Security Name
TEM.NZ,Templeton Emerging Markets Investment Trust Plc
TGG.NZ,T&G Global Limited
THL.NZ,Tourism Holdings Limited
TNZ.NZ,Smart NZ Top 10 ETF
TRA.NZ,Turners Automotive Group Limited
TRU.NZ,TruScreen Group Limited
TWF.NZ,Smart Total World ETF
TWH.NZ,Smart Total World (NZD Hedged) ETF
TWL.NZ,Trade Window Holdings Limited
TWR.NZ,Tower Limited
USA.NZ,Smart US ESG ETF
USF.NZ,Smart US 500 ETF
USG.NZ,Smart US Large Growth ETF
USH.NZ,Smart US 500 (NZD Hedged) ETF
USM.NZ,Smart US Mid Cap ETF
USS.NZ,Smart US Small Cap ETF
UST.NZ,Smart US Technology (NZD Hedged) ETF
USV.NZ,Smart US Large Value ETF
UVA.NZ,Uvre Limited
VCT.NZ,Vector Limited (NS)
VGL.NZ,Vista Group International Limited
VHP.NZ,Vital Healthcare Property Trust
VNT.NZ,Ventia Services Group Limited
VSL.NZ,Vulcan Steel Limited
WBC.NZ,Westpac Banking Corporation
WCO.NZ,WasteCo Group Limited
WHS.NZ,The Warehouse Group Limited
WIN.NZ,Winton Land Limited (NS)
